date,target,revenue,stock,total_promo_rate_1,total_promo_rate_2,target_winsorized
2018-12-03,48601.417,259871.15999999613,15.586704078383159,1473.0,0.0,48601.417
2018-12-10,48275.56999999999,255458.0600000022,16.17345807406311,2268.0,0.0,48275.56999999999
2018-12-17,56541.226999999955,284125.88000000047,16.68685343348909,1998.0,0.0,56541.226999999955
2018-12-24,57026.11600000003,332784.90999999596,16.711618478649285,2563.0,0.0,57026.11600000003
2018-12-31,53163.39999999999,292606.3299999976,15.751002498284793,1154.0,0.0,53163.39999999999
2019-01-07,45261.697000000044,234720.219999996,15.922896876963463,1003.0,0.0,45261.697000000044
2019-01-14,51421.80500000001,342169.2499999967,15.86292121623817,1535.0,0.0,51421.80500000001
2019-01-21,50143.24199999999,264139.06999999896,15.626368764599784,1686.0,0.0,50143.24199999999
2019-01-28,56125.018999999986,289146.4400000006,15.757567932138429,4185.0,0.0,56125.018999999986
2019-02-04,60216.552999999985,361197.88000000035,15.457399041328879,3900.0,0.0,60216.552999999985
2019-02-11,52541.003999999986,302810.2000000003,15.513749606136901,2499.0,0.0,52541.003999999986
2019-02-18,48541.76699999999,286556.859999998,15.449111391177185,3977.0,0.0,48541.76699999999
2019-02-25,52801.11799999999,292766.4600000008,15.501799050049415,3353.0,0.0,52801.11799999999
2019-03-04,54637.604999999996,301134.3099999997,15.142751586189696,3381.0,0.0,54637.604999999996
2019-03-11,49463.072,280053.61000000074,14.810129555505696,2991.0,0.0,49463.072
2019-03-18,46338.008,271037.86000000115,14.713805469042878,2581.0,0.0,46338.008
2019-03-25,45092.03000000001,270474.4700000007,14.939182313652923,3030.0,0.0,45092.03000000001
2019-04-01,46083.191999999995,270628.1400000004,14.643817837604374,4177.0,0.0,46083.191999999995
2019-04-08,45680.257,270101.15999999974,14.644042627722646,3318.0,0.0,45680.257
2019-04-15,54100.765999999996,347709.59999999986,15.017802608645964,4532.0,0.0,54100.765999999996
2019-04-22,49852.587,285050.9199999998,14.866858880532986,3225.0,0.0,49852.587
2019-04-29,48254.691999999995,292312.6400000021,14.660393521057644,2256.0,0.0,48254.691999999995
2019-05-06,50297.66199999998,352699.15000000485,14.689014359230937,2829.0,0.0,50297.66199999998
2019-05-13,43380.797999999995,260781.60000000056,14.791937678787448,3118.0,0.0,43380.797999999995
2019-05-20,43869.958,261962.23000000307,14.828614323762773,2926.0,0.0,43869.958
2019-05-27,52205.280999999995,351796.16999999736,15.263228676490915,4799.0,0.0,52205.280999999995
2019-06-03,51654.43500000001,317908.70999999926,14.581945452025366,3399.0,0.0,51654.43500000001
2019-06-10,47168.75799999999,291856.7900000015,14.60227084699208,2676.0,0.0,47168.75799999999
2019-06-17,55241.745,420251.5299999976,14.447312997676644,2587.0,0.0,55241.745
2019-06-24,52123.62799999998,341460.0099999982,14.615131268589968,4372.0,0.0,52123.62799999998
2019-07-01,55204.408999999985,360689.9599999996,14.510505110567822,4677.0,0.0,55204.408999999985
2019-07-08,56091.502000000015,367624.21000000264,14.383124566491993,3845.0,0.0,56091.502000000015
2019-07-15,54422.23100000002,346300.10000000044,14.021387657479764,4397.0,0.0,54422.23100000002
2019-07-22,52391.920000000006,317842.7200000016,14.221845887754455,3106.0,0.0,52391.920000000006
2019-07-29,56117.90899999999,376650.56000000244,14.616385799679046,2891.0,0.0,56117.90899999999
2019-08-05,58163.306,395657.4199999996,15.852702671521044,2332.0,0.0,58163.306
2019-08-12,68288.22000000003,582477.3599999993,15.398044749518307,1523.0,0.0,68288.22000000003
2019-08-19,80453.69599999997,1109566.6789999907,14.203638634096324,1773.0,0.0,80453.69599999997
2019-08-26,54296.65299999999,352170.81999999646,14.169774506985972,5224.0,352.0,54296.65299999999
2019-09-02,53785.33700000001,362556.2999999949,14.074218326872295,3601.0,616.0,53785.33700000001
2019-09-09,52778.41600000001,365289.149999997,14.142081070293138,3302.0,261.0,52778.41600000001
2019-09-16,46944.84899999999,319844.9099999942,14.192253014347314,4461.0,0.0,46944.84899999999
2019-09-23,57063.66500000001,372618.00999999564,14.397325376547483,5069.0,0.0,57063.66500000001
2019-09-30,64493.17800000003,367517.4899999945,14.168281989913664,4160.0,5041.0,64493.17800000003
2019-10-07,52933.65700000001,341305.11999999563,13.869113598673296,3672.0,1500.0,52933.65700000001
2019-10-14,49777.493,355714.6999999933,13.829817909641072,3839.0,0.0,49777.493
2019-10-21,47455.413,304376.3999999991,13.753649359718933,3633.0,0.0,47455.413
2019-10-28,43380.797999999995,170893.22999999765,13.742979797091989,4152.0,0.0,43380.797999999995
